accountId,date,name,paymentChannel,type,AssignedCategory,ground_truth_category
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/7/2025,SEND E-TFR ***Ygf,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/7/2025,SEND E-TFR *YBZ AP,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/6/2025,SEND E-TFR ***hPU,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/6/2025,SEND E-TFR *BMY AP,other,special,Subcontractor,Uncategorized Expense
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/6/2025,SEND E-TFR ***H6Y,other,special,Subcontractor,Uncategorized Expense
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/6/2025,SEND E-TFR FEE,other,special,51800 Merchant Account Fees,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/5/2025,E-TRANSFER ***Bcu,other,special,Chair Rental:Lash Bed,Uncategorized Income
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/5/2025,SEND E-TFR ***EQ5,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/5/2025,SEND E-TFR *DWw AP,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/4/2025,E-TRANSFER ***JgW,other,special,Chair Rental:Facial Room,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/3/2025,E-TRANSFER ***TRC,other,special,Chair Rental:Hair Chair,Uncategorized Income
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/3/2025,SEND E-TFR ***4TH,other,special,Subcontractor,Uncategorized Expense
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/3/2025,SEND E-TFR FEE,other,special,51800 Merchant Account Fees,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/31/2025,E-TFR ***Jrj EPAY,other,special,Chair Rental:Hair Chair,Uncategorized Income
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/31/2025,E-TRANSFER ***ZNG,other,special,Chair Rental:Hair Chair,Uncategorized Income
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/29/2025,E-TFR ***kkB EPAY,other,special,Chair Rental:Hair Chair,Uncategorized Income
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/28/2025,E-TRANSFER ***MTu,other,special,Undeposited Funds,Uncategorized Income
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/27/2025,View more E-TRANSFER ***CPm View more E-TRANSFER ***CPm,other,special,Chair Rental:Hair Chair,Uncategorized Income
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/27/2025,APPLE.COM/BILL,online,digital,Uncategorized Expense,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/27/2025,ARITZIA.COM,online,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/27/2025,APPLE.COM/BILL,online,digital,Uncategorized Expense,Computer and Software Expenses
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/27/2025,APPLE.COM/BILL,online,digital,Uncategorized Expense,Computer and Software Expenses
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/27/2025,ARITZIA.COM,online,place,Uncategorized Expense,Owners Draw
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/24/2025,SEND E-TFR *b57 AP,other,special,20000 Accounts Payable,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/23/2025,E-TRANSFER ***Kza,other,special,Chair Rental:Hair Chair,Uncategorized Income
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,1/23/2025,SEND E-TFR FEE,other,special,60400 Bank Service Charges,Uncategorized Expense
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,1/22/2025,SEND E-TFR ***hWD,other,special,20000 Accounts Payable,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/22/2025,SEND E-TFR ***Rwn,other,special,20000 Accounts Payable,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/22/2025,SEND E-TFR *MRE AP,other,special,Subcontractor,Uncategorized Expense
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,1/22/2025,SEND E-TFR FEE,other,special,60400 Bank Service Charges,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/21/2025,SEND E-TFR ***3yh,other,special,20000 Accounts Payable,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/21/2025,SEND E-TFR *cxM AP,other,special,Subcontractor,Uncategorized Expense
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/20/2025,CC.CAREGUIDE.COM,online,place,Uncategorized Expense,Research Expense
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/20/2025,TEMU.COM,other,special,Uncategorized Expense,Supplies and Materials
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/20/2025,CC.CAREGUIDE.COM,online,place,Uncategorized Expense,Research Expense
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/20/2025,TEMU.COM,other,special,Uncategorized Expense,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/18/2025,TEMU.COM,other,special,Uncategorized Expense,Supplies and Materials
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/18/2025,TEMU.COM,other,special,Uncategorized Expense,Supplies and Materials
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/17/2025,CHQ#00064-4143922650,other,special,67100 Rent Expense,Uncategorized Expense
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/17/2025,CC.CAREGUIDE.COM,online,place,Uncategorized Expense,Research Expense
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/17/2025,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/17/2025,CC.CAREGUIDE.COM,online,place,Uncategorized Expense,Research Expense
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/17/2025,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/16/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/16/2025,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/16/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/16/2025,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/15/2025,SEND E-TFR *jEj AP,other,special,20000 Accounts Payable,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/15/2025,SEND E-TFR *mJ5 AP,other,special,20000 Accounts Payable,Uncategorized Expense
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/15/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/15/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/15/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/15/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/15/2025,Netflix,online,place,9,Dues and Subscriptions
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/15/2025,PHOREST,in store,place,Cost of Goods Sold:Salon Supplies:Supplies and Materials,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/15/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/15/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/15/2025,Netflix,online,place,Uncategorized Expense,Dues and Subscriptions
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/15/2025,PHOREST,in store,place,Cost of Goods Sold:Salon Supplies:Supplies and Materials,Computer and Software Expenses
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,1/14/2025,SEND E-TFR ***nGt,other,special,Subcontractor,Uncategorized Expense
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,1/14/2025,SEND E-TFR FEE,other,special,60400 Bank Service Charges,Uncategorized Expense
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/14/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/14/2025,Netflix,online,place,64300 Meals and Entertainment,Dues and Subscriptions
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/14/2025,PHOREST,in store,place,51800 Merchant Account Fees,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/14/2025,Shoppers Drug Mart,in store,place,68600 Utilities,Supplies and Materials
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/14/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
xL80ErrDXaSBe1mNjKVkHaLK0gqMY0F3mBv7g,1/14/2025,Netflix,online,place,64300 Meals and Entertainment,Dues and Subscriptions
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/13/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/11/2025,Spotify,online,place,Uncategorized Expense,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/10/2025,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/10/2025,SP HEIRESS CLOTHING,in store,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/9/2025,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/9/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/9/2025,IN *LENSEN ENTERPRISES IN,in store,place,Uncategorized Expense,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/8/2025,APPLE.COM/BILL,online,digital,Uncategorized Expense,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/8/2025,Global-e.Sporty and,in store,place,Uncategorized Expense,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/8/2025,Global-e.Sporty and,in store,place,Uncategorized Expense,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/8/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/8/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/7/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/7/2025,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/6/2025,APPLE.COM/BILL,online,digital,Uncategorized Expense,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/4/2025,APPLE.COM/BILL,online,digital,Uncategorized Expense,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/3/2025,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,1/2/2025,INTUIT *QBooks Online,online,place,60400 Bank Service Charges,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/31/2024,TEMU.COM,online,place,Uncategorized Expense,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/30/2024,Carter\'s,in store,place,64300 Meals and Entertainment,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/30/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/30/2024,TEMU.COM,online,place,Uncategorized Expense,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/27/2024,CITY OF VAN PAYBYPHONE,in store,place,Uncategorized Expense,Automobile Expense:Auto - Parking
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/27/2024,CITY OF VAN PAYBYPHONE,in store,place,68600 Utilities,Automobile Expense:Auto - Parking
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/27/2024,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/27/2024,SP MYORGANICFORMULA.,in store,place,Cost of Goods Sold:Salon Supplies:Supplies and Materials,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/27/2024,Uniqlo Canada POS_CA_MTT_,in store,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/27/2024,Covenant House Vancouver,in store,place,Uncategorized Expense,Charitable donation
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/24/2024,BROWNSSHOES.COM,online,place,Uncategorized Expense,Gift Expense
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/24/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/23/2024,CITY OF VAN PAYBYPHONE,in store,place,68600 Utilities,Automobile Expense:Auto - Parking
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/23/2024,CITY OF VAN PAYBYPHONE,in store,place,Uncategorized Expense,Automobile Expense:Auto - Parking
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/23/2024,CITY OF VAN PAYBYPHONE,in store,place,68600 Utilities,Automobile Expense:Auto - Parking
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/23/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/23/2024,BROWNSSHOES.COM,online,place,Uncategorized Expense,68300 Gift Expense
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/23/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/23/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/23/2024,LS THE CROSS DECOR AND,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/20/2024,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/20/2024,LS THE CROSS DECOR AND,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/19/2024,CITY OF VAN PAYBYPHONE,in store,place,Uncategorized Expense,Automobile Expense:Auto - Parking
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/19/2024,CITY OF VAN PAYBYPHONE,in store,place,68600 Utilities,Automobile Expense:Auto - Parking
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/19/2024,RCH* REVOLVE,in store,place,Uncategorized Expense,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/19/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/19/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,12/18/2024,HOLT RENFREW,in store,place,64300 Meals and Entertainment,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/18/2024,CC.CAREGUIDE.COM,online,place,Uncategorized Expense,Research Expense
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/16/2024,PHOREST,in store,place,51800 Merchant Account Fees,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/16/2024,NANNYSERVICES.CA,online,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/16/2024,Netflix,online,place,Uncategorized Expense,Dues and Subscriptions
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/16/2024,MOODYLENSES.COM,online,place,Uncategorized Expense,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/16/2024,APPLE.COM/BILL,online,digital,Uncategorized Expense,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/16/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/12/2024,Spotify,online,place,Uncategorized Expense,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/11/2024,GURU CONTRACTING LTD,in store,place,Subcontractor,Repairs and Maintenance
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/9/2024,BUBBLE WORLD,in store,place,64300 Meals and Entertainment,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/9/2024,APPLE.COM/BILL,online,digital,Uncategorized Expense,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/9/2024,GOFNDME* HEALTHY HEART,in store,place,Uncategorized Expense,Charitable donation
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/9/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/5/2024,APPLE.COM/BILL,online,digital,64300 Meals and Entertainment,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/5/2024,WF/CA4283758286,other,special,Uncategorized Expense,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/5/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/4/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/2/2024,INTUIT *QBooks Payroll,other,special,24000 Payroll Liabilities:Federal Taxes,Computer and Software Expenses
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/2/2024,FACEBK *V4V7BE82Z2,online,digital,61700 Computer and Software Expenses,Advertising and Promotion
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/2/2024,Birkenstock Canada Ltd.,other,place,Cost of Goods Sold:Salon Supplies:Supplies and Materials,Owners Draw
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/2/2024,AGELESS BEAUTY LASER & SP,in store,place,Uncategorized Expense,Owners Draw
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,12/2/2024,CHOICES YALETOW _F,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/2/2024,CHOICES YALETOWN # 907,in store,place,64300 Meals and Entertainment,Supplies and Materials
OwJ84yyEX1t06vPdKVQyU17gqeYDM3s1pb3Qx,12/2/2024,ARCTERYX Equipment,in store,place,Uncategorized Expense,Repairs and Maintenance
